Palavra,Artista,Quantidade_y,Quantidade_total,Gênero,Década de nascimento,UF de nascimento,Nome
head,adoniran-barbosa,2,760,Man,1910-1919,SP,Adoniran Barbosa
to fall,adoniran-barbosa,4,1544,Man,1910-1919,SP,Adoniran Barbosa
silence,adoniran-barbosa,2,549,Man,1910-1919,SP,Adoniran Barbosa
walk,adoniran-barbosa,2,1179,Man,1910-1919,SP,Adoniran Barbosa
weary,adoniran-barbosa,5,880,Man,1910-1919,SP,Adoniran Barbosa
sing,adoniran-barbosa,20,8891,Man,1910-1919,SP,Adoniran Barbosa
song,adoniran-barbosa,3,1030,Man,1910-1919,SP,Adoniran Barbosa
Carnival,adoniran-barbosa,3,816,Man,1910-1919,SP,Adoniran Barbosa
expensive,adoniran-barbosa,10,2089,Man,1910-1919,SP,Adoniran Barbosa
to marry,adoniran-barbosa,23,2147,Man,1910-1919,SP,Adoniran Barbosa
certain,adoniran-barbosa,2,522,Man,1910-1919,SP,Adoniran Barbosa
right,adoniran-barbosa,2,571,Man,1910-1919,SP,Adoniran Barbosa
Call,adoniran-barbosa,8,1650,Man,1910-1919,SP,Adoniran Barbosa
to arrive,adoniran-barbosa,37,4489,Man,1910-1919,SP,Adoniran Barbosa
full,adoniran-barbosa,5,743,Man,1910-1919,SP,Adoniran Barbosa
cry,adoniran-barbosa,57,4386,Man,1910-1919,SP,Adoniran Barbosa
rain,adoniran-barbosa,2,635,Man,1910-1919,SP,Adoniran Barbosa
floor,adoniran-barbosa,12,1037,Man,1910-1919,SP,Adoniran Barbosa
City,adoniran-barbosa,5,1002,Man,1910-1919,SP,Adoniran Barbosa
top,adoniran-barbosa,6,979,Man,1910-1919,SP,Adoniran Barbosa
thing,adoniran-barbosa,24,2410,Man,1910-1919,SP,Adoniran Barbosa
eat,adoniran-barbosa,28,4536,Man,1910-1919,SP,Adoniran Barbosa
with me,adoniran-barbosa,9,1583,Man,1910-1919,SP,Adoniran Barbosa
how,adoniran-barbosa,22,3838,Man,1910-1919,SP,Adoniran Barbosa
purchase,adoniran-barbosa,8,536,Man,1910-1919,SP,Adoniran Barbosa
to meet,adoniran-barbosa,11,878,Man,1910-1919,SP,Adoniran Barbosa
get,adoniran-barbosa,2,767,Man,1910-1919,SP,Adoniran Barbosa
tell,adoniran-barbosa,10,1269,Man,1910-1919,SP,Adoniran Barbosa
color,adoniran-barbosa,1,821,Man,1910-1919,SP,Adoniran Barbosa
heart,adoniran-barbosa,12,6266,Man,1910-1919,SP,Adoniran Barbosa
body,adoniran-barbosa,5,1523,Man,1910-1919,SP,Adoniran Barbosa
run,adoniran-barbosa,4,1081,Man,1910-1919,SP,Adoniran Barbosa
kid,adoniran-barbosa,4,708,Man,1910-1919,SP,Adoniran Barbosa
take care,adoniran-barbosa,4,514,Man,1910-1919,SP,Adoniran Barbosa
sky,adoniran-barbosa,7,2061,Man,1910-1919,SP,Adoniran Barbosa
to dance,adoniran-barbosa,5,1429,Man,1910-1919,SP,Adoniran Barbosa
inside,adoniran-barbosa,5,1212,Man,1910-1919,SP,Adoniran Barbosa
later,adoniran-barbosa,17,1839,Man,1910-1919,SP,Adoniran Barbosa
since,adoniran-barbosa,2,562,Man,1910-1919,SP,Adoniran Barbosa
Wish,adoniran-barbosa,2,1051,Man,1910-1919,SP,Adoniran Barbosa
earmark,adoniran-barbosa,2,562,Man,1910-1919,SP,Adoniran Barbosa
God,adoniran-barbosa,16,3257,Man,1910-1919,SP,Adoniran Barbosa
duty,adoniran-barbosa,4,955,Man,1910-1919,SP,Adoniran Barbosa
day,adoniran-barbosa,38,4842,Man,1910-1919,SP,Adoniran Barbosa
cash,adoniran-barbosa,7,680,Man,1910-1919,SP,Adoniran Barbosa
to say,adoniran-barbosa,41,8012,Man,1910-1919,SP,Adoniran Barbosa
candy,adoniran-barbosa,2,690,Man,1910-1919,SP,Adoniran Barbosa
hurt,adoniran-barbosa,1,639,Man,1910-1919,SP,Adoniran Barbosa
owner,adoniran-barbosa,6,564,Man,1910-1919,SP,Adoniran Barbosa
ache,adoniran-barbosa,6,2290,Man,1910-1919,SP,Adoniran Barbosa
to sleep,adoniran-barbosa,7,868,Man,1910-1919,SP,Adoniran Barbosa
although,adoniran-barbosa,13,1492,Man,1910-1919,SP,Adoniran Barbosa
meet,adoniran-barbosa,10,2135,Man,1910-1919,SP,Adoniran Barbosa
understand,adoniran-barbosa,2,970,Man,1910-1919,SP,Adoniran Barbosa
get in,adoniran-barbosa,8,1652,Man,1910-1919,SP,Adoniran Barbosa
deliver,adoniran-barbosa,1,774,Man,1910-1919,SP,Adoniran Barbosa
err,adoniran-barbosa,1,872,Man,1910-1919,SP,Adoniran Barbosa
wait,adoniran-barbosa,11,1753,Man,1910-1919,SP,Adoniran Barbosa
forget,adoniran-barbosa,9,2291,Man,1910-1919,SP,Adoniran Barbosa
exist,adoniran-barbosa,2,1025,Man,1910-1919,SP,Adoniran Barbosa
speak,adoniran-barbosa,25,2676,Man,1910-1919,SP,Adoniran Barbosa
fail,adoniran-barbosa,8,940,Man,1910-1919,SP,Adoniran Barbosa
miss,adoniran-barbosa,1,925,Man,1910-1919,SP,Adoniran Barbosa
happiness,adoniran-barbosa,1,1110,Man,1910-1919,SP,Adoniran Barbosa
happy,adoniran-barbosa,6,2585,Man,1910-1919,SP,Adoniran Barbosa
party,adoniran-barbosa,3,808,Man,1910-1919,SP,Adoniran Barbosa
end,adoniran-barbosa,3,1834,Man,1910-1919,SP,Adoniran Barbosa
fire,adoniran-barbosa,5,724,Man,1910-1919,SP,Adoniran Barbosa
strong,adoniran-barbosa,1,723,Man,1910-1919,SP,Adoniran Barbosa
front,adoniran-barbosa,3,637,Man,1910-1919,SP,Adoniran Barbosa
to merge,adoniran-barbosa,2,635,Man,1910-1919,SP,Adoniran Barbosa
faith,adoniran-barbosa,1,861,Man,1910-1919,SP,Adoniran Barbosa
to win,adoniran-barbosa,4,720,Man,1910-1919,SP,Adoniran Barbosa
people,adoniran-barbosa,19,5724,Man,1910-1919,SP,Adoniran Barbosa
like,adoniran-barbosa,12,2259,Man,1910-1919,SP,Adoniran Barbosa
big,adoniran-barbosa,13,1626,Man,1910-1919,SP,Adoniran Barbosa
shout out,adoniran-barbosa,5,642,Man,1910-1919,SP,Adoniran Barbosa
save,adoniran-barbosa,6,807,Man,1910-1919,SP,Adoniran Barbosa
today,adoniran-barbosa,28,2878,Man,1910-1919,SP,Adoniran Barbosa
men,adoniran-barbosa,10,1384,Man,1910-1919,SP,Adoniran Barbosa
hour,adoniran-barbosa,14,2096,Man,1910-1919,SP,Adoniran Barbosa
equal,adoniran-barbosa,10,658,Man,1910-1919,SP,Adoniran Barbosa
acquaint,adoniran-barbosa,6,1032,Man,1910-1919,SP,Adoniran Barbosa
brother,adoniran-barbosa,2,590,Man,1910-1919,SP,Adoniran Barbosa
never,adoniran-barbosa,3,638,Man,1910-1919,SP,Adoniran Barbosa
way,adoniran-barbosa,8,1733,Man,1910-1919,SP,Adoniran Barbosa
to play,adoniran-barbosa,6,1562,Man,1910-1919,SP,Adoniran Barbosa
get together,adoniran-barbosa,1,544,Man,1910-1919,SP,Adoniran Barbosa
together,adoniran-barbosa,8,755,Man,1910-1919,SP,Adoniran Barbosa
to swear,adoniran-barbosa,7,789,Man,1910-1919,SP,Adoniran Barbosa
side,adoniran-barbosa,5,1321,Man,1910-1919,SP,Adoniran Barbosa
to remember,adoniran-barbosa,11,1250,Man,1910-1919,SP,Adoniran Barbosa
to read,adoniran-barbosa,3,934,Man,1910-1919,SP,Adoniran Barbosa
take along,adoniran-barbosa,14,2918,Man,1910-1919,SP,Adoniran Barbosa
beautiful,adoniran-barbosa,1,843,Man,1910-1919,SP,Adoniran Barbosa
pretty,adoniran-barbosa,3,954,Man,1910-1919,SP,Adoniran Barbosa
far,adoniran-barbosa,3,852,Man,1910-1919,SP,Adoniran Barbosa
Crazy,adoniran-barbosa,6,1032,Man,1910-1919,SP,Adoniran Barbosa
moon,adoniran-barbosa,2,1323,Man,1910-1919,SP,Adoniran Barbosa
place,adoniran-barbosa,5,1602,Man,1910-1919,SP,Adoniran Barbosa
to fight,adoniran-barbosa,1,636,Man,1910-1919,SP,Adoniran Barbosa
sparkle,adoniran-barbosa,11,1704,Man,1910-1919,SP,Adoniran Barbosa
madrugar,adoniran-barbosa,2,674,Man,1910-1919,SP,Adoniran Barbosa
larger,adoniran-barbosa,1,628,Man,1910-1919,SP,Adoniran Barbosa
bad,adoniran-barbosa,7,1934,Man,1910-1919,SP,Adoniran Barbosa
rascal,adoniran-barbosa,2,604,Man,1910-1919,SP,Adoniran Barbosa
to send,adoniran-barbosa,3,1580,Man,1910-1919,SP,Adoniran Barbosa
morning,adoniran-barbosa,7,794,Man,1910-1919,SP,Adoniran Barbosa
sea,adoniran-barbosa,2,2991,Man,1910-1919,SP,Adoniran Barbosa
Mary,adoniran-barbosa,9,1022,Man,1910-1919,SP,Adoniran Barbosa
to kill,adoniran-barbosa,6,1245,Man,1910-1919,SP,Adoniran Barbosa
fear,adoniran-barbosa,1,979,Man,1910-1919,SP,Adoniran Barbosa
best,adoniran-barbosa,6,1360,Man,1910-1919,SP,Adoniran Barbosa
boy,adoniran-barbosa,1,1627,Man,1910-1919,SP,Adoniran Barbosa
to lie,adoniran-barbosa,5,855,Man,1910-1919,SP,Adoniran Barbosa
same,adoniran-barbosa,9,2388,Man,1910-1919,SP,Adoniran Barbosa
to mix,adoniran-barbosa,4,533,Man,1910-1919,SP,Adoniran Barbosa
thousand,adoniran-barbosa,1,621,Man,1910-1919,SP,Adoniran Barbosa
time,adoniran-barbosa,1,820,Man,1910-1919,SP,Adoniran Barbosa
to live,adoniran-barbosa,13,1152,Man,1910-1919,SP,Adoniran Barbosa
to die,adoniran-barbosa,16,2666,Man,1910-1919,SP,Adoniran Barbosa
Show,adoniran-barbosa,2,717,Man,1910-1919,SP,Adoniran Barbosa
boy,adoniran-barbosa,1,716,Man,1910-1919,SP,Adoniran Barbosa
change,adoniran-barbosa,5,1098,Man,1910-1919,SP,Adoniran Barbosa
woman,adoniran-barbosa,41,2994,Man,1910-1919,SP,Adoniran Barbosa
world,adoniran-barbosa,13,3522,Man,1910-1919,SP,Adoniran Barbosa
mother,adoniran-barbosa,8,789,Man,1910-1919,SP,Adoniran Barbosa
hand,adoniran-barbosa,18,2300,Man,1910-1919,SP,Adoniran Barbosa
to fall in love,adoniran-barbosa,3,737,Man,1910-1919,SP,Adoniran Barbosa
born,adoniran-barbosa,2,1401,Man,1910-1919,SP,Adoniran Barbosa
deny,adoniran-barbosa,9,1206,Man,1910-1919,SP,Adoniran Barbosa
black,adoniran-barbosa,2,671,Man,1910-1919,SP,Adoniran Barbosa
nobody,adoniran-barbosa,13,3085,Man,1910-1919,SP,Adoniran Barbosa
night,adoniran-barbosa,20,2864,Man,1910-1919,SP,Adoniran Barbosa
Name,adoniran-barbosa,3,928,Man,1910-1919,SP,Adoniran Barbosa
new,adoniran-barbosa,4,1685,Man,1910-1919,SP,Adoniran Barbosa
Never,adoniran-barbosa,12,2565,Man,1910-1919,SP,Adoniran Barbosa
to look,adoniran-barbosa,27,4919,Man,1910-1919,SP,Adoniran Barbosa
eye,adoniran-barbosa,4,1668,Man,1910-1919,SP,Adoniran Barbosa
other,adoniran-barbosa,21,2805,Man,1910-1919,SP,Adoniran Barbosa
listen,adoniran-barbosa,4,1639,Man,1910-1919,SP,Adoniran Barbosa
pay,adoniran-barbosa,8,832,Man,1910-1919,SP,Adoniran Barbosa
dad,adoniran-barbosa,4,835,Man,1910-1919,SP,Adoniran Barbosa
stop,adoniran-barbosa,9,1510,Man,1910-1919,SP,Adoniran Barbosa
seem,adoniran-barbosa,8,793,Man,1910-1919,SP,Adoniran Barbosa
leave,adoniran-barbosa,12,1209,Man,1910-1919,SP,Adoniran Barbosa
to spend,adoniran-barbosa,28,4368,Man,1910-1919,SP,Adoniran Barbosa
peace,adoniran-barbosa,4,1855,Man,1910-1919,SP,Adoniran Barbosa
ask,adoniran-barbosa,13,2118,Man,1910-1919,SP,Adoniran Barbosa
take,adoniran-barbosa,12,1843,Man,1910-1919,SP,Adoniran Barbosa
suborn,adoniran-barbosa,3,1462,Man,1910-1919,SP,Adoniran Barbosa
fur,adoniran-barbosa,4,598,Man,1910-1919,SP,Adoniran Barbosa
sorrow,adoniran-barbosa,10,1260,Man,1910-1919,SP,Adoniran Barbosa
think,adoniran-barbosa,4,2418,Man,1910-1919,SP,Adoniran Barbosa
lose,adoniran-barbosa,20,2443,Man,1910-1919,SP,Adoniran Barbosa
to forgive,adoniran-barbosa,1,606,Man,1910-1919,SP,Adoniran Barbosa
forgiveness,adoniran-barbosa,5,586,Man,1910-1919,SP,Adoniran Barbosa
to ask,adoniran-barbosa,3,563,Man,1910-1919,SP,Adoniran Barbosa
near,adoniran-barbosa,3,647,Man,1910-1919,SP,Adoniran Barbosa
to plant,adoniran-barbosa,5,762,Man,1910-1919,SP,Adoniran Barbosa
poor,adoniran-barbosa,1,635,Man,1910-1919,SP,Adoniran Barbosa
power,adoniran-barbosa,49,7634,Man,1910-1919,SP,Adoniran Barbosa
bear,adoniran-barbosa,10,690,Man,1910-1919,SP,Adoniran Barbosa
little,adoniran-barbosa,11,1124,Man,1910-1919,SP,Adoniran Barbosa
people,adoniran-barbosa,3,1256,Man,1910-1919,SP,Adoniran Barbosa
need,adoniran-barbosa,4,2443,Man,1910-1919,SP,Adoniran Barbosa
black,adoniran-barbosa,2,740,Man,1910-1919,SP,Adoniran Barbosa
first,adoniran-barbosa,8,882,Man,1910-1919,SP,Adoniran Barbosa
Search for,adoniran-barbosa,13,2198,Man,1910-1919,SP,Adoniran Barbosa
to test,adoniran-barbosa,2,581,Man,1910-1919,SP,Adoniran Barbosa
foot,adoniran-barbosa,15,1424,Man,1910-1919,SP,Adoniran Barbosa
which,adoniran-barbosa,3,654,Man,1910-1919,SP,Adoniran Barbosa
almost,adoniran-barbosa,7,764,Man,1910-1919,SP,Adoniran Barbosa
break,adoniran-barbosa,1,614,Man,1910-1919,SP,Adoniran Barbosa
reason,adoniran-barbosa,7,1038,Man,1910-1919,SP,Adoniran Barbosa
chorus,adoniran-barbosa,1,1021,Man,1910-1919,SP,Adoniran Barbosa
King,adoniran-barbosa,2,998,Man,1910-1919,SP,Adoniran Barbosa
suddenly,adoniran-barbosa,2,1108,Man,1910-1919,SP,Adoniran Barbosa
to laugh,adoniran-barbosa,2,839,Man,1910-1919,SP,Adoniran Barbosa
rotate,adoniran-barbosa,3,884,Man,1910-1919,SP,Adoniran Barbosa
collapse,adoniran-barbosa,6,868,Man,1910-1919,SP,Adoniran Barbosa
samba,adoniran-barbosa,13,1269,Man,1910-1919,SP,Adoniran Barbosa
to samba,adoniran-barbosa,22,6306,Man,1910-1919,SP,Adoniran Barbosa
Holy,adoniran-barbosa,1,780,Man,1910-1919,SP,Adoniran Barbosa
miss,adoniran-barbosa,3,2670,Man,1910-1919,SP,Adoniran Barbosa
follow,adoniran-barbosa,3,771,Man,1910-1919,SP,Adoniran Barbosa
ever,adoniran-barbosa,20,3360,Man,1910-1919,SP,Adoniran Barbosa
Mr,adoniran-barbosa,15,1178,Man,1910-1919,SP,Adoniran Barbosa
to feel,adoniran-barbosa,13,3125,Man,1910-1919,SP,Adoniran Barbosa
remain,adoniran-barbosa,2,608,Man,1910-1919,SP,Adoniran Barbosa
to suffer,adoniran-barbosa,11,2090,Man,1910-1919,SP,Adoniran Barbosa
Sun,adoniran-barbosa,6,2154,Man,1910-1919,SP,Adoniran Barbosa
to dream,adoniran-barbosa,4,2462,Man,1910-1919,SP,Adoniran Barbosa
dream,adoniran-barbosa,4,1098,Man,1910-1919,SP,Adoniran Barbosa
to smile,adoniran-barbosa,2,1303,Man,1910-1919,SP,Adoniran Barbosa
to sweat,adoniran-barbosa,11,3445,Man,1910-1919,SP,Adoniran Barbosa
move up,adoniran-barbosa,9,519,Man,1910-1919,SP,Adoniran Barbosa
delay,adoniran-barbosa,7,608,Man,1910-1919,SP,Adoniran Barbosa
time,adoniran-barbosa,15,3470,Man,1910-1919,SP,Adoniran Barbosa
Earth,adoniran-barbosa,2,1295,Man,1910-1919,SP,Adoniran Barbosa
touch,adoniran-barbosa,10,1207,Man,1910-1919,SP,Adoniran Barbosa
to take,adoniran-barbosa,3,897,Man,1910-1919,SP,Adoniran Barbosa
to work,adoniran-barbosa,20,743,Man,1910-1919,SP,Adoniran Barbosa
bring,adoniran-barbosa,7,1614,Man,1910-1919,SP,Adoniran Barbosa
sad,adoniran-barbosa,9,1063,Man,1910-1919,SP,Adoniran Barbosa
sadness,adoniran-barbosa,9,1071,Man,1910-1919,SP,Adoniran Barbosa
worth,adoniran-barbosa,4,1283,Man,1910-1919,SP,Adoniran Barbosa
old,adoniran-barbosa,15,1101,Man,1910-1919,SP,Adoniran Barbosa
blow,adoniran-barbosa,8,911,Man,1910-1919,SP,Adoniran Barbosa
to see,adoniran-barbosa,55,9632,Man,1910-1919,SP,Adoniran Barbosa
truth,adoniran-barbosa,6,1075,Man,1910-1919,SP,Adoniran Barbosa
life,adoniran-barbosa,19,6401,Man,1910-1919,SP,Adoniran Barbosa
turn,adoniran-barbosa,6,1109,Man,1910-1919,SP,Adoniran Barbosa
to live,adoniran-barbosa,19,4828,Man,1910-1919,SP,Adoniran Barbosa
fly,adoniran-barbosa,1,593,Man,1910-1919,SP,Adoniran Barbosa
come back,adoniran-barbosa,37,3429,Man,1910-1919,SP,Adoniran Barbosa
will,adoniran-barbosa,5,833,Man,1910-1919,SP,Adoniran Barbosa
voice,adoniran-barbosa,1,1099,Man,1910-1919,SP,Adoniran Barbosa
Water,adoniran-barbosa,4,1388,Man,1910-1919,SP,Adoniran Barbosa
to hug,agepe,23,742,Man,1940-1949,RJ,Agepê
Open,agepe,10,912,Man,1940-1949,RJ,Agepê
to finish,agepe,28,1832,Man,1940-1949,RJ,Agepê
find,agepe,15,1151,Man,1940-1949,RJ,Agepê
happen,agepe,14,929,Man,1940-1949,RJ,Agepê
wake up,agepe,4,698,Man,1940-1949,RJ,Agepê
to believe,agepe,4,756,Man,1940-1949,RJ,Agepê
bye,agepe,14,801,Man,1940-1949,RJ,Agepê
now,agepe,41,2881,Man,1940-1949,RJ,Agepê
happiness,agepe,37,1494,Man,1940-1949,RJ,Agepê
almo,agepe,13,613,Man,1940-1949,RJ,Agepê
high,agepe,1,649,Man,1940-1949,RJ,Agepê
in addition,agepe,4,940,Man,1940-1949,RJ,Agepê
tomorrow,agepe,19,1094,Man,1940-1949,RJ,Agepê
love,agepe,183,9816,Man,1940-1949,RJ,Agepê
cozying,agepe,5,701,Man,1940-1949,RJ,Agepê
friend,agepe,4,635,Man,1940-1949,RJ,Agepê
love,agepe,639,31458,Man,1940-1949,RJ,Agepê
walk,agepe,7,1990,Man,1940-1949,RJ,Agepê
year,agepe,4,667,Man,1940-1949,RJ,Agepê
love,agepe,11,714,Man,1940-1949,RJ,Agepê
only,agepe,4,538,Man,1940-1949,RJ,Agepê
learn,agepe,5,704,Man,1940-1949,RJ,Agepê
air,agepe,15,778,Man,1940-1949,RJ,Agepê
blue,agepe,12,668,Man,1940-1949,RJ,Agepê
bahia,agepe,37,658,Man,1940-1949,RJ,Agepê
to swing,agepe,10,668,Man,1940-1949,RJ,Agepê
to knock,agepe,29,1694,Man,1940-1949,RJ,Agepê
batucar,agepe,13,526,Man,1940-1949,RJ,Agepê
drink,agepe,31,983,Man,1940-1949,RJ,Agepê
kiss,agepe,14,1982,Man,1940-1949,RJ,Agepê
beauty,agepe,20,765,Man,1940-1949,RJ,Agepê
beautiful,agepe,9,561,Man,1940-1949,RJ,Agepê
mouth,agepe,10,1198,Man,1940-1949,RJ,Agepê
trundle,agepe,1,545,Man,1940-1949,RJ,Agepê
Good,agepe,35,3691,Man,1940-1949,RJ,Agepê
beautiful,agepe,12,1166,Man,1940-1949,RJ,Agepê
White,agepe,14,706,Man,1940-1949,RJ,Agepê
Brazil,agepe,11,1094,Man,1940-1949,RJ,Agepê
Brazilian,agepe,10,549,Man,1940-1949,RJ,Agepê
arm,agepe,19,799,Man,1940-1949,RJ,Agepê
fight,agepe,9,610,Man,1940-1949,RJ,Agepê
shine,agepe,27,921,Man,1940-1949,RJ,Agepê
to play,agepe,29,742,Man,1940-1949,RJ,Agepê
search,agepe,9,674,Man,1940-1949,RJ,Agepê
head,agepe,7,760,Man,1940-1949,RJ,Agepê
to fall,agepe,12,1544,Man,1940-1949,RJ,Agepê
silence,agepe,8,549,Man,1940-1949,RJ,Agepê
heat,agepe,28,629,Man,1940-1949,RJ,Agepê
walk,agepe,23,1179,Man,1940-1949,RJ,Agepê
weary,agepe,6,880,Man,1940-1949,RJ,Agepê
sing,agepe,223,8891,Man,1940-1949,RJ,Agepê
song,agepe,4,1030,Man,1940-1949,RJ,Agepê
Carnival,agepe,14,816,Man,1940-1949,RJ,Agepê
expensive,agepe,25,2089,Man,1940-1949,RJ,Agepê
to marry,agepe,18,2147,Man,1940-1949,RJ,Agepê
certain,agepe,3,522,Man,1940-1949,RJ,Agepê
right,agepe,2,571,Man,1940-1949,RJ,Agepê
Call,agepe,33,1650,Man,1940-1949,RJ,Agepê
to arrive,agepe,56,4489,Man,1940-1949,RJ,Agepê
full,agepe,14,743,Man,1940-1949,RJ,Agepê
cry,agepe,90,4386,Man,1940-1949,RJ,Agepê
rain,agepe,12,635,Man,1940-1949,RJ,Agepê
floor,agepe,14,1037,Man,1940-1949,RJ,Agepê
City,agepe,10,1002,Man,1940-1949,RJ,Agepê
top,agepe,6,979,Man,1940-1949,RJ,Agepê
thing,agepe,19,2410,Man,1940-1949,RJ,Agepê
eat,agepe,66,4536,Man,1940-1949,RJ,Agepê
with me,agepe,19,1583,Man,1940-1949,RJ,Agepê
how,agepe,58,3838,Man,1940-1949,RJ,Agepê
purchase,agepe,10,536,Man,1940-1949,RJ,Agepê
to meet,agepe,6,878,Man,1940-1949,RJ,Agepê
get,agepe,2,767,Man,1940-1949,RJ,Agepê
tell,agepe,22,1269,Man,1940-1949,RJ,Agepê
color,agepe,36,821,Man,1940-1949,RJ,Agepê
heart,agepe,96,6266,Man,1940-1949,RJ,Agepê
body,agepe,36,1523,Man,1940-1949,RJ,Agepê
run,agepe,12,1081,Man,1940-1949,RJ,Agepê
kid,agepe,12,708,Man,1940-1949,RJ,Agepê
take care,agepe,4,514,Man,1940-1949,RJ,Agepê
sky,agepe,27,2061,Man,1940-1949,RJ,Agepê
to dance,agepe,68,1429,Man,1940-1949,RJ,Agepê
inside,agepe,22,1212,Man,1940-1949,RJ,Agepê
later,agepe,18,1839,Man,1940-1949,RJ,Agepê
since,agepe,4,562,Man,1940-1949,RJ,Agepê
Wish,agepe,9,1051,Man,1940-1949,RJ,Agepê
undo,agepe,10,554,Man,1940-1949,RJ,Agepê
earmark,agepe,13,562,Man,1940-1949,RJ,Agepê
God,agepe,27,3257,Man,1940-1949,RJ,Agepê
duty,agepe,9,955,Man,1940-1949,RJ,Agepê
day,agepe,79,4842,Man,1940-1949,RJ,Agepê
cash,agepe,1,680,Man,1940-1949,RJ,Agepê
to say,agepe,98,8012,Man,1940-1949,RJ,Agepê
candy,agepe,11,690,Man,1940-1949,RJ,Agepê
hurt,agepe,11,639,Man,1940-1949,RJ,Agepê
owner,agepe,6,564,Man,1940-1949,RJ,Agepê
ache,agepe,47,2290,Man,1940-1949,RJ,Agepê
to sleep,agepe,13,868,Man,1940-1949,RJ,Agepê
although,agepe,30,1492,Man,1940-1949,RJ,Agepê
emotion,agepe,20,671,Man,1940-1949,RJ,Agepê
delight,agepe,13,514,Man,1940-1949,RJ,Agepê
meet,agepe,9,2135,Man,1940-1949,RJ,Agepê
understand,agepe,6,970,Man,1940-1949,RJ,Agepê
get in,agepe,32,1652,Man,1940-1949,RJ,Agepê
deliver,agepe,13,774,Man,1940-1949,RJ,Agepê
err,agepe,11,872,Man,1940-1949,RJ,Agepê
to hopes,agepe,8,622,Man,1940-1949,RJ,Agepê
wait,agepe,14,1753,Man,1940-1949,RJ,Agepê
forget,agepe,29,2291,Man,1940-1949,RJ,Agepê
exist,agepe,16,1025,Man,1940-1949,RJ,Agepê
speak,agepe,12,2676,Man,1940-1949,RJ,Agepê
fail,agepe,3,940,Man,1940-1949,RJ,Agepê
miss,agepe,5,925,Man,1940-1949,RJ,Agepê
favor,agepe,1,665,Man,1940-1949,RJ,Agepê
happiness,agepe,31,1110,Man,1940-1949,RJ,Agepê
happy,agepe,26,2585,Man,1940-1949,RJ,Agepê
